town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M117	117	hadley	2012	107940	899175	M_107940_899175	"SOUTH BRANCH RD"	25	1
M117	117	hadley	2012	107846	899918	M_107846_899918	"HONEY POT RD"	15	1
M117	117	hadley	2012	107758	899913	M_107758_899913	"HONEY POT RD"	19	1
M117	117	hadley	2012	107679	899939	M_107679_899939	"HONEY POT RD"	21	1
M117	117	hadley	2012	107711	899931	M_107711_899931	"HONEY POT RD"	23	1
M117	117	hadley	2012	107623	899995	M_107623_899995	"HONEY POT RD"	25	1
M117	117	hadley	2012	107569	899966	M_107569_899966	"HONEY POT RD"	27	1
M117	117	hadley	2012	107534	899971	M_107534_899971	"HONEY POT RD"	29	1
M117	117	hadley	2012	107445	899979	M_107445_899979	"HONEY POT RD"	31	1
M117	117	hadley	2012	107304	899992	M_107304_899992	"HONEY POT RD"	39	1
M117	117	hadley	2012	107492	899974	M_107492_899974	"HONEY POT RD"	33	1
M117	117	hadley	2012	107225	899995	M_107225_899995	"HONEY POT RD"	41	1
M117	117	hadley	2012	106421	900048	M_106421_900048	"HONEY POT RD"	101	1
M117	117	hadley	2012	106325	900031	M_106325_900031	"HONEY POT RD"	105	1
M117	117	hadley	2012	107912	899377	M_107912_899377	"SOUTH BRANCH RD"	13	1
M117	117	hadley	2012	106290	900076	M_106290_900076	"HONEY POT RD"	109	1
M117	117	hadley	2012	106287	900218	M_106287_900218	"HONEY POT RD"	115	1
M117	117	hadley	2012	106279	900134	M_106279_900134	"HONEY POT RD"	111	1
M117	117	hadley	2012	106649	900259	M_106649_900259	"HONEY POT RD"	100	1
M117	117	hadley	2012	106926	900268	M_106926_900268	"HONEY POT RD"	62	1
M117	117	hadley	2012	106939	900274	M_106939_900274	"HONEY POT RD"	60	1
M117	117	hadley	2012	106983	900276	M_106983_900276	"HONEY POT RD"	56	1
M117	117	hadley	2012	106958	900276	M_106958_900276	"HONEY POT RD"	58	1
M117	117	hadley	2012	107009	900266	M_107009_900266	"HONEY POT RD"	54	1
M117	117	hadley	2012	107030	900283	M_107030_900283	"HONEY POT RD"	52	1
M117	117	hadley	2012	107055	900272	M_107055_900272	"HONEY POT RD"	50	1
M117	117	hadley	2012	107091	900289	M_107091_900289	"HONEY POT RD"	48	1
M117	117	hadley	2012	107130	900274	M_107130_900274	"HONEY POT RD"	46	1
M117	117	hadley	2012	107169	900278	M_107169_900278	"HONEY POT RD"	44	1
M117	117	hadley	2012	107974	899384	M_107974_899384	"SOUTH BRANCH RD"	11	1
M117	117	hadley	2012	107215	900267	M_107215_900267	"HONEY POT RD"	42	1
M117	117	hadley	2012	107263	900280	M_107263_900280	"HONEY POT RD"	40	1
M117	117	hadley	2012	107302	900269	M_107302_900269	"HONEY POT RD"	38	1
M117	117	hadley	2012	107325	900306	M_107325_900306	"HONEY POT RD"	36	1
M117	117	hadley	2012	107379	900283	M_107379_900283	"HONEY POT RD"	34	1
M117	117	hadley	2012	107473	900278	M_107473_900278	"HONEY POT RD"	30	1
M117	117	hadley	2012	107541	900270	M_107541_900270	"HONEY POT RD"	28	1
M117	117	hadley	2012	107388	899986	M_107388_899986	"HONEY POT RD"	35	1
M117	117	hadley	2012	107583	900270	M_107583_900270	"HONEY POT RD"	26	1
M117	117	hadley	2012	107637	900270	M_107637_900270	"HONEY POT RD"	24	1
M117	117	hadley	2012	107693	900262	M_107693_900262	"HONEY POT RD"	22	1
M117	117	hadley	2012	107863	899580	M_107863_899580	"SOUTH BRANCH RD"	18	1
M117	117	hadley	2012	107899	899526	M_107899_899526	"SOUTH BRANCH RD"	14	1
M117	117	hadley	2012	107872	899545	M_107872_899545	"SOUTH BRANCH RD"	16	1
M117	117	hadley	2012	107744	900259	M_107744_900259	"HONEY POT RD"	20	1
M117	117	hadley	2012	107788	900255	M_107788_900255	"HONEY POT RD"	18	1
M117	117	hadley	2012	107833	900253	M_107833_900253	"HONEY POT RD"	16	1
M117	117	hadley	2012	107876	900253	M_107876_900253	"HONEY POT RD"	14	1
M117	117	hadley	2012	107917	900251	M_107917_900251	"HONEY POT RD"	12	1
M117	117	hadley	2012	107950	900249	M_107950_900249	"HONEY POT RD"	10	1
M117	117	hadley	2012	107984	900241	M_107984_900241	"HONEY POT RD"	8	1
M117	117	hadley	2012	107948	899651	M_107948_899651	"CEMETERY RD"	87	1
M117	117	hadley	2012	107908	899656	M_107908_899656	"CEMETERY RD"	89	1
M117	117	hadley	2012	107838	899700	M_107838_899700	"CEMETERY RD"	91	1
M117	117	hadley	2012	107913	899923	M_107913_899923	"HONEY POT RD"	13	1
M117	117	hadley	2012	113384	900396	M_113384_900396	"MILL VALLEY RD"	99	1
M117	117	hadley	2012	111753	900197	M_111753_900197	"RUSSELL ST"	243	1
M117	117	hadley	2012	111711	900284	M_111711_900284	"RUSSELL ST"	240	1
M117	117	hadley	2012	111875	900360	M_111875_900360	"RUSSELL ST"	258	1
M117	117	hadley	2012	112149	900425	M_112149_900425	"MILL VALLEY RD"	4	1
M117	117	hadley	2012	112417	900471	M_112417_900471	"MILL VALLEY RD"	10	1
M117	117	hadley	2012	112282	900444	M_112282_900444	"MILL VALLEY RD"	8	1
M117	117	hadley	2012	112983	900571	M_112983_900571	"SO MAPLE ST"	27	1
M117	117	hadley	2012	113310	900454	M_113310_900454	"SO MAPLE ST"	43	1
M117	117	hadley	2012	113748	900689	M_113748_900689	"MILL VALLEY RD"	100	1
M117	117	hadley	2012	113546	900914	M_113546_900914	"SO MAPLE ST"	10	1
M117	117	hadley	2012	113163	900923	M_113163_900923	"RUSSELL ST"	337	1
M117	117	hadley	2012	113359	901227	M_113359_901227	"RUSSELL ST"	353	1
M117	117	hadley	2012	113379	901158	M_113379_901158	"SO MAPLE ST"	5	1
M117	117	hadley	2012	113233	901164	M_113233_901164	"RUSSELL ST"	347	1
M117	117	hadley	2012	113370	901098	M_113370_901098	"SO MAPLE ST"	7	1
M117	117	hadley	2012	112929	900028	M_112929_900028	"SO MAPLE ST"	57	1
M117	117	hadley	2012	113149	901109	M_113149_901109	"RUSSELL ST"	333	1
M117	117	hadley	2012	113120	901081	M_113120_901081	"RUSSELL ST"	331	1
M117	117	hadley	2012	113044	901018	M_113044_901018	"RUSSELL ST"	329	1
M117	117	hadley	2012	112833	900800	M_112833_900800	"RUSSELL ST"	317	1
M117	117	hadley	2012	112859	900930	M_112859_900930	"RUSSELL ST"	321	1
M117	117	hadley	2012	112751	900774	M_112751_900774	"RUSSELL ST"	315	1
M117	117	hadley	2012	112678	900733	M_112678_900733	"RUSSELL ST"	303	1
M117	117	hadley	2012	112707	900837	M_112707_900837	"RUSSELL ST"	305	1
M117	117	hadley	2012	112602	900711	M_112602_900711	"RUSSELL ST"	299	1
M117	117	hadley	2012	112519	900710	M_112519_900710	"RUSSELL ST"	293	1
M117	117	hadley	2012	112485	900684	M_112485_900684	"RUSSELL ST"	291	1
M117	117	hadley	2012	111971	900328	M_111971_900328	"MILL VALLEY RD"	1	1
M117	117	hadley	2012	112028	900330	M_112028_900330	"MILL VALLEY RD"	3	1
M117	117	hadley	2012	112092	900333	M_112092_900333	"MILL VALLEY RD"	5	1
M117	117	hadley	2012	112153	900335	M_112153_900335	"MILL VALLEY RD"	7	1
M117	117	hadley	2012	112073	900189	M_112073_900189	"MILL VALLEY RD"	9	1
M117	117	hadley	2012	112224	900338	M_112224_900338	"MILL VALLEY RD"	11	1
M117	117	hadley	2012	112467	900635	M_112467_900635	"RUSSELL ST"	287	1
M117	117	hadley	2012	112337	900577	M_112337_900577	"RUSSELL ST"	285	1
M117	117	hadley	2012	111679	900701	M_111679_900701	"SPRUCE HILL RD"	31	1
M117	117	hadley	2012	111764	900658	M_111764_900658	"SPRUCE HILL RD"	29	1
M117	117	hadley	2012	111685	900751	M_111685_900751	"SPRUCE HILL RD"	35	1
M117	117	hadley	2012	111705	900869	M_111705_900869	"SPRUCE HILL RD"	41	1
M117	117	hadley	2012	111707	900953	M_111707_900953	"SPRUCE HILL RD"	45	1
M117	117	hadley	2012	111706	900911	M_111706_900911	"SPRUCE HILL RD"	43	1
M117	117	hadley	2012	111688	900796	M_111688_900796	"SPRUCE HILL RD"	37	1
M117	117	hadley	2012	111913	901016	M_111913_901016	"SPRUCE HILL RD"	47	1
M117	117	hadley	2012	112142	900598	M_112142_900598	"RUSSELL ST"	272	1
M117	117	hadley	2012	112052	900575	M_112052_900575	"RUSSELL ST"	270	1
M117	117	hadley	2012	112315	901163	M_112315_901163	"RUSSELL ST"	278	1
M117	117	hadley	2012	112338	900851	M_112338_900851	"RUSSELL ST"	282	1
M117	117	hadley	2012	112454	900778	M_112454_900778	"RUSSELL ST"	286	1
M117	117	hadley	2012	112469	900742	M_112469_900742	"RUSSELL ST"	290	1
M117	117	hadley	2012	112441	900741	M_112441_900741	"RUSSELL ST"	284	1
M117	117	hadley	2012	111921	900199	M_111921_900199	"RUSSELL ST"	257	1
M117	117	hadley	2012	112482	901050	M_112482_901050	"RUSSELL ST"	294	1
M117	117	hadley	2012	111875	900174	M_111875_900174	"RUSSELL ST"	251	1
M117	117	hadley	2012	112604	900954	M_112604_900954	"RUSSELL ST"	300	1
M117	117	hadley	2012	112494	900767	M_112494_900767	"RUSSELL ST"	292	1
M117	117	hadley	2012	112582	900853	M_112582_900853	"RUSSELL ST"	298	1
M117	117	hadley	2012	112744	901183	M_112744_901183	"RUSSELL ST"	318	1
M117	117	hadley	2012	112835	901005	M_112835_901005	"RUSSELL ST"	320	1
M117	117	hadley	2012	112702	900969	M_112702_900969	"RUSSELL ST"	310	1
M117	117	hadley	2012	112879	901032	M_112879_901032	"RUSSELL ST"	322	1
M117	117	hadley	2012	112674	901465	M_112674_901465	"RUSSELL ST"	326	1
M117	117	hadley	2012	111663	900605	M_111663_900605	"ARROWHEAD DR"	2	1
M117	117	hadley	2012	111987	900580	M_111987_900580	"ARROWHEAD DR"	17	1
M117	117	hadley	2012	111941	900577	M_111941_900577	"ARROWHEAD DR"	15	1
M117	117	hadley	2012	111902	900573	M_111902_900573	"ARROWHEAD DR"	13	1
M117	117	hadley	2012	111863	900569	M_111863_900569	"ARROWHEAD DR"	11	1
M117	117	hadley	2012	111823	900565	M_111823_900565	"ARROWHEAD DR"	9	1
M117	117	hadley	2012	111785	900561	M_111785_900561	"ARROWHEAD DR"	7	1
M117	117	hadley	2012	111746	900557	M_111746_900557	"ARROWHEAD DR"	5	1
M117	117	hadley	2012	111707	900554	M_111707_900554	"ARROWHEAD DR"	3	1
M117	117	hadley	2012	111661	900548	M_111661_900548	"ARROWHEAD DR"	1	1
M117	117	hadley	2012	111705	900609	M_111705_900609	"ARROWHEAD DR"	4	1
M117	117	hadley	2012	111783	900618	M_111783_900618	"ARROWHEAD DR"	8	1
M117	117	hadley	2012	111744	900614	M_111744_900614	"ARROWHEAD DR"	6	1
M117	117	hadley	2012	111823	900622	M_111823_900622	"ARROWHEAD DR"	10	1
M117	117	hadley	2012	111863	900626	M_111863_900626	"ARROWHEAD DR"	12	1
M117	117	hadley	2012	111903	900631	M_111903_900631	"ARROWHEAD DR"	14	1
M117	117	hadley	2012	111942	900635	M_111942_900635	"ARROWHEAD DR"	16	1
M117	117	hadley	2012	111981	900639	M_111981_900639	"ARROWHEAD DR"	18	1
M117	117	hadley	2012	111834	900142	M_111834_900142	"RUSSELL ST"	249	1
M117	117	hadley	2012	111839	899877	M_111839_899877	"NASHUA RD"	13	1
M117	117	hadley	2012	111878	899883	M_111878_899883	"NASHUA RD"	15	1
M117	117	hadley	2012	111772	900105	M_111772_900105	"RUSSELL ST"	245	1
M117	117	hadley	2012	111667	900010	M_111667_900010	"RUSSELL ST"	237	1
M117	117	hadley	2012	111721	900190	M_111721_900190	"RUSSELL ST"	241	1
M117	117	hadley	2012	114322	900019	M_114322_900019	"MILL VALLEY RD"	143	1
M117	117	hadley	2012	113953	900219	M_113953_900219	"MILL VALLEY RD"	137	1
M117	117	hadley	2012	113700	900273	M_113700_900273	"MILL VALLEY RD"	121	1
M117	117	hadley	2012	114013	900280	M_114013_900280	"MILL VALLEY RD"	140	1
M117	117	hadley	2012	111708	902307	M_111708_902307	"HUNTINGTON RD"	51	1
M117	117	hadley	2012	111746	902312	M_111746_902312	"HUNTINGTON RD"	53	1
M117	117	hadley	2012	111783	902317	M_111783_902317	"HUNTINGTON RD"	55	1
M117	117	hadley	2012	111572	902452	M_111572_902452	"HUNTINGTON RD"	54	1
M117	117	hadley	2012	111749	902426	M_111749_902426	"HUNTINGTON RD"	56	1
M117	117	hadley	2012	111809	902430	M_111809_902430	"HUNTINGTON RD"	58	1
M117	117	hadley	2012	111821	902322	M_111821_902322	"HUNTINGTON RD"	57	1
M117	117	hadley	2012	111862	902334	M_111862_902334	"HUNTINGTON RD"	59	1
M117	117	hadley	2012	111909	902339	M_111909_902339	"BRECKENRIDGE RD"	41	1
M117	117	hadley	2012	111889	902284	M_111889_902284	"BRECKENRIDGE RD"	43	1
M117	117	hadley	2012	112044	902260	M_112044_902260	"HUNTINGTON RD"	63	1
M117	117	hadley	2012	112187	902389	M_112187_902389	"HUNTINGTON RD"	73	1
M117	117	hadley	2012	112258	902267	M_112258_902267	"HUNTINGTON RD"	75	1
M117	117	hadley	2012	112157	902356	M_112157_902356	"HUNTINGTON RD"	71	1
M117	117	hadley	2012	112253	902396	M_112253_902396	"SYLVIA HT"	3	1
M117	117	hadley	2012	112296	902339	M_112296_902339	"SYLVIA HT"	5	1
M117	117	hadley	2012	112364	902396	M_112364_902396	"SYLVIA HT"	4	1
M117	117	hadley	2012	112423	902404	M_112423_902404	"SYLVIA HT"	8	1
M117	117	hadley	2012	112459	902411	M_112459_902411	"SYLVIA HT"	10	1
M117	117	hadley	2012	112497	902421	M_112497_902421	"SYLVIA HT"	12	1
M117	117	hadley	2012	112346	902325	M_112346_902325	"SYLVIA HT"	7	1
M117	117	hadley	2012	112393	902331	M_112393_902331	"SYLVIA HT"	9	1
M117	117	hadley	2012	112431	902335	M_112431_902335	"SYLVIA HT"	11	1
M117	117	hadley	2012	112468	902340	M_112468_902340	"SYLVIA HT"	13	1
M117	117	hadley	2012	112506	902343	M_112506_902343	"SYLVIA HT"	15	1
M117	117	hadley	2012	112696	902258	M_112696_902258	"SYLVIA HT"	20	1
M117	117	hadley	2012	112614	902245	M_112614_902245	"SYLVIA HT"	22	1
M117	117	hadley	2012	112521	902099	M_112521_902099	"SYLVIA HT"	25	1
M117	117	hadley	2012	112511	902272	M_112511_902272	"SYLVIA HT"	17	1
M117	117	hadley	2012	112856	902331	M_112856_902331	"ROCKY HILL RD"	126	1
M117	117	hadley	2012	111855	901428	M_111855_901428	"SPRUCE HILL RD"	67	1
M117	117	hadley	2012	112800	902309	M_112800_902309	"ROCKY HILL RD"	124	1
M117	117	hadley	2012	112787	902268	M_112787_902268	"ROCKY HILL RD"	122	1
M117	117	hadley	2012	112765	902227	M_112765_902227	"ROCKY HILL RD"	120	1
M117	117	hadley	2012	112746	902189	M_112746_902189	"ROCKY HILL RD"	118	1
M117	117	hadley	2012	112726	902151	M_112726_902151	"ROCKY HILL RD"	116	1
M117	117	hadley	2012	112644	902156	M_112644_902156	"ROCKY HILL RD"	114	1
M117	117	hadley	2012	112682	902110	M_112682_902110	"ROCKY HILL RD"	112	1
M117	117	hadley	2012	112648	902079	M_112648_902079	"ROCKY HILL RD"	110	1
M117	117	hadley	2012	112617	902046	M_112617_902046	"ROCKY HILL RD"	108	1
M117	117	hadley	2012	112588	902011	M_112588_902011	"ROCKY HILL RD"	106	1
M117	117	hadley	2012	111693	901780	M_111693_901780	"WAMPANOAG DR"	1	1
M117	117	hadley	2012	111806	901562	M_111806_901562	"WAMPANOAG DR"	12	1
M117	117	hadley	2012	111753	901581	M_111753_901581	"WAMPANOAG DR"	11	1
M117	117	hadley	2012	111671	901462	M_111671_901462	"WAMPANOAG DR"	13	1
M117	117	hadley	2012	111765	901511	M_111765_901511	"WAMPANOAG DR"	15	1
M117	117	hadley	2012	111817	901523	M_111817_901523	"WAMPANOAG DR"	14	1
M117	117	hadley	2012	111856	901529	M_111856_901529	"ALGONQUIN DR"	11	1
M117	117	hadley	2012	111918	901526	M_111918_901526	"ALGONQUIN DR"	12	1
M117	117	hadley	2012	111904	901572	M_111904_901572	"ALGONQUIN DR"	10	1
M117	117	hadley	2012	111845	901569	M_111845_901569	"ALGONQUIN DR"	9	1
M117	117	hadley	2012	111739	901822	M_111739_901822	"ROCKY HILL RD"	69	1
M117	117	hadley	2012	111892	901617	M_111892_901617	"ALGONQUIN DR"	8	1
M117	117	hadley	2012	111834	901608	M_111834_901608	"ALGONQUIN DR"	7	1
M117	117	hadley	2012	111880	901664	M_111880_901664	"ALGONQUIN DR"	6	1
M117	117	hadley	2012	111823	901648	M_111823_901648	"ALGONQUIN DR"	5	1
M117	117	hadley	2012	111867	901709	M_111867_901709	"ALGONQUIN DR"	4	1
M117	117	hadley	2012	111811	901692	M_111811_901692	"ALGONQUIN DR"	3	1
M117	117	hadley	2012	111856	901751	M_111856_901751	"ALGONQUIN DR"	2	1
M117	117	hadley	2012	111799	901737	M_111799_901737	"POPES WAY"	3	1
M117	117	hadley	2012	111839	901814	M_111839_901814	"POPES WAY"	6	1
M117	117	hadley	2012	111797	901798	M_111797_901798	"POPES WAY"	4	1
M117	117	hadley	2012	111704	901739	M_111704_901739	"WAMPANOAG DR"	3	1
M117	117	hadley	2012	111749	901783	M_111749_901783	"WAMPANOAG DR"	4	1
M117	117	hadley	2012	111715	901698	M_111715_901698	"WAMPANOAG DR"	5	1
M117	117	hadley	2012	111760	901728	M_111760_901728	"POPES WAY"	1	1
M117	117	hadley	2012	111734	901639	M_111734_901639	"WAMPANOAG DR"	7	1
M117	117	hadley	2012	111773	901687	M_111773_901687	"WAMPANOAG DR"	8	1
M117	117	hadley	2012	111795	901622	M_111795_901622	"WAMPANOAG DR"	10	1
M117	117	hadley	2012	112560	901975	M_112560_901975	"ROCKY HILL RD"	104	1
M117	117	hadley	2012	112529	901947	M_112529_901947	"ROCKY HILL RD"	102	1
M117	117	hadley	2012	112489	901947	M_112489_901947	"ROCKY HILL RD"	100	1
M117	117	hadley	2012	112208	902060	M_112208_902060	"ROCKY HILL RD"	88	1
M117	117	hadley	2012	111920	901971	M_111920_901971	"BRECKENRIDGE RD"	62	1
M117	117	hadley	2012	111926	902008	M_111926_902008	"BRECKENRIDGE RD"	58	1
M117	117	hadley	2012	111928	902046	M_111928_902046	"BRECKENRIDGE RD"	56	1
M117	117	hadley	2012	111931	902083	M_111931_902083	"BRECKENRIDGE RD"	54	1
M117	117	hadley	2012	111937	902121	M_111937_902121	"BRECKENRIDGE RD"	52	1
M117	117	hadley	2012	112362	901940	M_112362_901940	"ROCKY HILL RD"	90	1
M117	117	hadley	2012	111921	901906	M_111921_901906	"ROCKY HILL RD"	77	1
M117	117	hadley	2012	111960	901591	M_111960_901591	"ROCKY HILL RD"	81	1
