LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_269948_800687	"OAK GROVE RD"	15	1	269948	800687
M_270009_800742	"CAPAWOCK RD"	100	1	270009	800742
M_270088_800652	"CAPAWOCK RD"	86	1	270088	800652
M_270094_800820	"CAPAWOCK RD"	101	1	270094	800820
M_270054_800927	"NAUSHON RD"	136	1	270054	800927
M_270026_801001	"NAUSHON RD"	126	1	270026	801001
M_269944_801135	"NAUSHON RD"	103	1	269944	801135
M_269844_800783	"WINDY WAY"	4	1	269844	800783
M_270027_801281	"NAUSHON RD"	91	1	270027	801281
M_270005_801212	"NAUSHON RD"	79	1	270005	801212
M_270191_801155	"NAUSHON RD"	70	1	270191	801155
M_270101_801019	"BRICKWORKS RD"	65	1	270101	801019
M_270227_801079	"BRICKWORKS RD"	44	1	270227	801079
M_270197_801011	"BRICKWORKS RD"	64	1	270197	801011
M_270233_800925	"BRICKWORKS RD"	82	1	270233	800925
M_270292_800823	"BRICKWORKS RD"	84	1	270292	800823
M_270213_800820	"BRICKWORKS RD"	83	1	270213	800820
M_270188_800719	"NORTON FARM RD"	8	1	270188	800719
M_270288_800712	"NORTON FARM RD"	18	1	270288	800712
M_270355_800727	"NORTON FARM RD"	32	1	270355	800727
M_270429_800749	"NORTON FARM RD"	40	1	270429	800749
M_270519_800787	"NORTON FARM RD"	68	1	270519	800787
M_270374_800868	"NORTON FARM RD"	92	1	270374	800868
M_270454_800986	"NORTON FARM RD"	83	1	270454	800986
M_270466_800865	"NORTON FARM RD"	90	1	270466	800865
M_270329_801015	"NORTON FARM RD"	94	1	270329	801015
M_270369_801116	"BRICKWORKS RD"	34	1	270369	801116
M_270094_801275	"NAUSHON RD"	75	1	270094	801275
M_270163_801327	"NAUSHON RD"	61	1	270163	801327
M_270224_801173	"NAUSHON RD"	62	1	270224	801173
M_270224_801392	"NAUSHON RD"	55	1	270224	801392
M_270308_801250	"NAUSHON RD"	42	1	270308	801250
M_270261_801466	"NAUSHON RD"	41	1	270261	801466
M_269827_800873	"WINDY WAY"	12	1	269827	800873
M_270305_801465	"NAUSHON RD"	39	1	270305	801465
M_270336_801352	"NAUSHON RD"	37	1	270336	801352
M_270373_801444	"NAUSHON RD"	29	1	270373	801444
M_270413_801358	"NAUSHON RD"	25	1	270413	801358
M_270500_801216	"NAUSHON RD"	4	1	270500	801216
M_270426_801224	"NAUSHON RD"	28	1	270426	801224
M_270481_801073	"WINNECOETTE AVE"	33	1	270481	801073
M_270562_801058	"WINNECOETTE AVE"	31	1	270562	801058
M_270553_801125	"WINNECOETTE AVE"	25	1	270553	801125
M_270625_800991	"WINNECOETTE AVE"	32	1	270625	800991
M_270575_800894	"NORTON FARM RD"	77	1	270575	800894
M_270646_800906	"NORTON FARM RD"	79	1	270646	800906
M_270713_800807	"GAY HEAD AVE"	30	1	270713	800807
M_270873_800978	"CUTTYHUNK AVE"	12	1	270873	800978
